ImageName,mean_aesthetic,std_aesthetic,std_blending,mean_blending,mean_balance,std_balance,can_not_distinguish
Real/relander-8,3.5,0.755928946,1.060660172,3.625,3.875,0.991031209,
Real/relander-2,3.625,0.916125381,0.755928946,4,4,0.755928946,
Real/Copy of pexels-stayhereforu-216201233-14455740,2.375,0.744023809,1.035098339,2.25,2.875,0.83452296,
Real/img2,4,1.069044968,1.302470181,3.375,3.5,1.414213562,
Real/Copy of pexels-nguy-n-trung-phuc-1772580055-28227424,3.5,0.755928946,0.707106781,3.75,3.5,1.195228609,
Real/Copy of pexels-mati-6345007,3,1.069044968,0.707106781,2.75,2.75,0.88640526,
Real/Copy of pexels-kseniya-kopna-52379050-7723547,3,1.195228609,0.916125381,2.375,3.125,0.83452296,
Real/Copy of pexels-nguy-n-thanh-ng-c-485749-3995673,2.875,1.125991626,0.9258201,3,3.375,0.744023809,
Real/Copy of pexels-kseniya-ozornina-82251748-8808085,2.75,1.164964745,1.164964745,2.75,2.875,0.991031209,
Real/Copy of pexels-27-1-418919857-18465473,2.5,0.534522484,0.744023809,2.625,3,0.9258201,
ControlNet/controlnet4,3.25,1.281739889,1.246423455,3.125,3.25,1.035098339,
ControlNet/controlnet9,3.375,1.060660172,1.302470181,3.375,3.625,0.916125381,
ControlNet/controlnet12,3.5,0.755928946,0.744023809,3.625,3.375,0.51754917,
ControlNet/controlnet11,3.375,1.060660172,0.916125381,3.375,3.25,0.707106781,
ControlNet/controlnet16,3.625,0.916125381,0.744023809,3.625,3.625,1.060660172,1
SD/08-015_man_forest_0,2.5,1.195228609,1.272418021,2.571428571,2.75,1.281739889,2
SD/08-015_man_forest_1,1.875,1.125991626,1.673320053,2.4,2.375,1.060660172,2
SD/08-015_man_forest_2,2.25,1.035098339,0.816496581,1.666666667,2.375,1.302470181,2
SD/08-015_mountains_woman_0,3.375,0.916125381,1.329160136,3.166666667,3.25,1.164964745,2
SD/08-015_mountains_woman_2,2.5,1.414213562,1.302470181,2.625,3.125,0.991031209,
