Real,Name,Human_Score,CLIP,NIMA,SCS,Note
1,img2,4.0,0.18860833,4.98036,0.7384343934242803,
2,relander-2,3.625,0.44085115,4.49703,0.5967634969926935,
3,relander-8,3.5,0.29226533,4.47299,0.5835877748539708,higher balance(important to empty space) compared to 4th place in human evaluation
4,Copy of pexels-nguy-n-trung-phuc-1772580055-28227424,3.5,0.37757862,3.78271,0.9973461971589344,
5,Copy of pexels-mati-6345007,3.0,0.41175097,3.19825,0.5552302515477925,lower std compared to 6th place in human evaluation
6,Copy of pexels-kseniya-kopna-52379050-7723547,3.0,0.45558065,3.79123,0.14738174331757636,
7,Copy of pexels-nguy-n-thanh-ng-c-485749-3995673,2.875,0.413988,3.39642,0.6407200352102553,
8,Copy of pexels-kseniya-ozornina-82251748-8808085,2.75,0.22494619,2.92133,0.5422696099878078,
9,Copy of pexels-27-1-418919857-18465473,2.5,0.32489276,4.01358,0.2721158853114469,
10,Copy of pexels-stayhereforu-216201233-14455740,2.375,0.3673993,3.90067,0.37573843949432206,
